"SEN","08/04/2016","5","1591.317","0","0.418","4131.27","15784.574","191.517","666.243","1558.325","787.318","3415.524","1542.318"
"SEN","08/04/2016","6","1626.775","0","0.468","4149.358","15704.28","196.429","665.51","1836.852","787.592","3411.051","1470.089"
"SEN","08/04/2016","7","1533.587","0.018","0.555","4166.51","15869.791","209.431","666.941","3095.135","787.649","3442.52","1542.613"
"SEN","08/04/2016","8","1705.454","0.425","1.019","4142.544","15807.298","206.758","664.037","4068.133","787.877","3451.346","1577.957"
"SEN","08/04/2016","9","1782.746","4.172","0.561","4130.033","15981.247","209.158","661.135","4587.423","787.874","3448.846","1576.263"
"SEN","08/04/2016","10","1947.796","14.686","0.472","4116.349","15980.216","209.558","657.466","5591.703","787.746","3476.778","1595.762"
"SEN","08/04/2016","11","2031.486","32.115","0.682","4137.867","16051.091","204.443","644.966","6309.214","787.571","3490.808","1592.114"
"SEN","08/04/2016","12","2003.578","39.731","0.481","4141.951","16066.616","209.879","655.594","6898.81","787.393","3528.402","1576.179"
"SEN","08/04/2016","13","2045.863","42.076","0.773","4167.11","16082.998","201.26","531.973","7208.181","787.219","3606.743","1620.111"
"SEN","08/04/2016","14","2045.5","36.777","0.075","4171.729","15954.225","207.835","492.678","7286.963","786.233","3661.663","1697.967"
"SEN","08/04/2016","15","2049.799","36.175","0","4159.242","15971.587","207.422","545.9","7533.796","786.064","3610.973","1655.243"
"SEN","08/04/2016","16","2117.341","25.993","0","4161.247","16005.623","209.702","555.818","7492.196","785.63","3532.331","1603.023"
"SEN","08/04/2016","17","2229.233","23.618","0.696","4171.374","16047.416","209.457","568.578","7440.405","785.456","3484.368","1609.295"
"SEN","08/04/2016","18","2269.877","17.914","0.572","4172.138","16064.107","210.571","613.581","6933.511","785.543","3493.367","1539.08"
"SEN","08/04/2016","19","2295.905","8.794","0.513","4150.937","16047.653","208.532","648.829","6058.51","786.102","3512.69","1533.87"
"SEN","08/04/2016","20","2251.669","4.288","0.505","4154.271","16049.583","209.83","648.956","5950.544","786.887","3504.934","1570.401"
"SEN","08/04/2016","21","2233.386","0.038","0.481","4123.935","16097.492","221.557","653.402","6747.783","787.228","3533.938","1553.71"
"SEN","08/04/2016","22","2207.665","0","0.487","4144.872","16111.307","216.774","656.083","6415.327","787.314","3598.213","1559.68"
"SEN","08/04/2016","23","2204.414","0","0.404","4137.6","15986.921","213.562","656.173","5757.516","787.396","3601.624","1555.165"
"SEN","08/04/2016","24","2170.59","0","0.46","4172.169","15721.241","206.747","636.663","5020.504","787.24","3462.817","1532.577"
"SEN","09/04/2016","1","2159.293","0","0.392","4188.204","15190.019","206.788","660.408","4091.398","787.432","3194.052","1505.906"
"SEN","09/04/2016","2","2008.596","0","0.577","4147.049","14840.578","211.496","660.564","3689.558","787.491","3188.285","1286.603"
"SEN","09/04/2016","3","1829.787","0","0.625","4128.369","14698.751","212.692","661.477","2997.005","787.774","3178.64","1254.743"
"SEN","09/04/2016","4","1662.703","0","0.504","4133.568","14598.497","210.321","661.75","2675.995","787.713","3167.922","1324.537"
"SEN","09/04/2016","5","1659.437","0","0.459","4130.392","14611.989","211.644","662.418","2463.756","787.399","3169.972","1324.491"
"SEN","09/04/2016","6","1766.563","0","0.369","4127.539","14610.288","210.62","663.376","2425.58","787.326","3167.603","1329.377"
"SEN","09/04/2016","7","1743.019","0.106","0.38","4122.905","14668.926","213.754","663.597","2934.935","786.324","3178.183","1285.644"
"SEN","09/04/2016","8","1822.493","0.513","0.842","4126.953","14628.265","213.465","662.977","3297.298","785.597","3173.205","1273.626"
"SEN","09/04/2016","9","2017.539","7.817","0.871","4109.724","14702.831","215.311","663.555","3934.59","785.807","3182.49","1271.955"
"SEN","09/04/2016","10","2083.405","23.021","0.515","4074.884","15076.721","220.146","658.532","4709.251","742.073","3190.44","1299.494"
"SEN","09/04/2016","11","2208.772","34.156","0.449","4111.555","15086.021","221.109","662.895","5594.882","720.019","3169.568","1280.763"
"SEN","09/04/2016","12","2191.694","41.472","0.489","3986.507","15159.045","219.844","661.587","6267.126","736.167","3180.857","1256.611"
"SEN","09/04/2016","13","2257.49","44.23","0.466","3862.418","15136.413","217.298","660.397","6614.73","754.309","3172.628","1359.672"
"SEN","09/04/2016","14","2315.01","45.843","0.514","3873.822","15071.891","216.303","660.623","6685.924","768.72","3169.023","1303.42"
"SEN","09/04/2016","15","2316.728","54.246","0.538","3887.755","15134.311","215.449","658.683","6292.061","784.25","3132.507","1250.152"
"SEN","09/04/2016","16","2350.302","49.156","0.571","3881.615","15128.241","215.3","659.401","5923.2","785.667","3112.672","1239.467"
"SEN","09/04/2016","17","2345.402","45.806","0.63","3828.582","15149.858","215.371","659.344","5625.164","784.498","3141.603","1255.292"
"SEN","09/04/2016","18","2311.904","32.13","0.506","3993.365","15119.602","214.479","657.602","5385.91","784.18","3204.686","1252.24"
"SEN","09/04/2016","19","2279.263","19.604","0.479","4117.723","15005.543","214.308","659.817","4808.967","784.81","3438.079","1274.578"
"SEN","09/04/2016","20","2309.38","6.021","0.465","4168.084","15019.979","212.963","663.018","4672.64","784.787","3459.982","1283.748"
