"SEN","05/03/2026","23","3126.9865","15.2954","26.7669","1144.9453","25452.0926","293.5352","369.8491","5279.6902","1519.502","3788.6151","1896.9414"
"SEN","05/03/2026","24","3106.3912","9.4142","26.1648","1118.1842","25142.8662","287.5316","370.3971","4259.94","1522.0535","3744.0268","1714.4499"
"SEN","06/03/2026","1","2984.5277","0.9061","26.6557","1091.7488","24987.9345","271.6477","371.1533","3419.4618","1524.2225","3499.6814","1314.4152"
"SEN","06/03/2026","2","2793.7447","0.0015","25.2387","982.9962","24366.4067","267.824","371.3279","3084.8952","1525.9117","3362.0232","1275.6232"
"SEN","06/03/2026","3","2898.2554","0.0014","22.6082","973.2137","23654.0718","266.7923","371.9191","2862.5411","1527.3618","3339.2053","1096.4084"
"SEN","06/03/2026","4","2818.4196","0.0011","22.5943","924.1708","23271.9269","275.8788","371.8615","2813.2952","1528.8692","3341.1427","1103.0025"
"SEN","06/03/2026","5","2789.2742","0.0011","25.9347","924.0858","23278.422","272.712","371.1053","2506.9086","1530.7335","3340.3713","1097.0915"
"SEN","06/03/2026","6","2810.5833","0.0091","25.9429","923.2788","24110.2486","271.3208","370.6115","2274.7839","1532.1301","3323.4569","1105.453"
"SEN","06/03/2026","7","2824.3276","53.04","23.8874","926.5874","24608.7767","282.6789","370.4308","2671.9902","1532.7425","3376.6874","1118.7108"
"SEN","06/03/2026","8","2795.8826","844.5604","23.9197","966.5181","24469.4359","371.6363","369.1949","2790.9643","1533.8493","3403.8735","1212.3135"
"SEN","06/03/2026","9","2680.204","4103.7746","26.3434","1064.8555","22756.7266","301.4455","367.9544","2584.7961","1533.6965","3282.3615","1248.2735"
"SEN","06/03/2026","10","2617.9216","6279.5829","26.0751","939.815","21172.844","287.4245","366.1949","2774.3226","1533.1129","2928.5729","1261.6837"
"SEN","06/03/2026","11","2197.5719","6645.3171","26.4023","926.697","21253.8735","339.0073","366.3048","2961.9652","1532.6055","2917.3757","1239.2983"
"SEN","06/03/2026","12","1986.2419","6489.1904","25.5283","954.0953","21460.6931","503.4412","366.7054","3202.5778","1531.3783","2912.553","1186.3674"
"SEN","06/03/2026","13","1894.9806","5890.6313","25.3246","1061.0001","22284.6748","482.7331","366.7919","3315.7813","1530.5088","2921.6678","1271.8501"
"SEN","06/03/2026","14","1698.4806","5744.6084","25.057","1134.4519","22941.8062","457.296","366.5634","3329.3991","1528.8901","3074.0494","1303.8813"
"SEN","06/03/2026","15","1772.433","5611.2741","22.7241","1163.6737","23449.1383","478.8581","365.2508","3545.6728","1527.2741","3104.2483","1321.1345"
"SEN","06/03/2026","16","2252.3581","5233.3343","21.7643","1395.5768","23662.7851","478.2274","365.2027","3641.6898","1522.9111","3246.9039","1337.8432"
"SEN","06/03/2026","17","2733.3654","4927.1499","22.5831","1489.0647","23685.3111","520.2405","366.0406","3732.3593","1517.3709","3550.3253","1360.4509"
"SEN","06/03/2026","18","2776.6247","4058.0973","18.3409","1484.1047","23751.2271","383.7001","369.2474","4426.395","1514.4623","3559.9635","1585.0306"
"SEN","06/03/2026","19","2521.5683","995.163","16.3054","1480.6637","25336.9152","290.8262","370.7416","5559.8497","1516.7761","3615.4393","2007.0355"
"SEN","06/03/2026","20","2525.0925","41.7439","21.9125","1460.0116","26450.8846","280.9707","370.5403","6332.1011","1519.102","3704.8293","2099.0179"
"SEN","06/03/2026","21","2738.3173","21.4095","18.859","1301.9782","26102.4187","283.1561","370.9372","6207.5709","1522.5591","3788.0438","2170.759"
"SEN","06/03/2026","22","3060.2833","13.173","17.3575","1242.9849","26172.9518","280.6032","371.6797","5442.3154","1524.4983","3660.805","2152.6425"
"SEN","06/03/2026","23","3256.0342","19.5198","10.5745","1238.3054","25747.3986","286.3414","370.5895","4815.9436","1526.3388","3749.1049","2106.4193"
"SEN","06/03/2026","24","3319.5831","20.0379","19.4637","1229.0514","25068.8322","273.9628","370.0719","4171.1114","1527.4731","3833.0732","2002.1785"
